country,country_name,type,year,value,ratio
IT,Italy,Nuclear,2017,0.0,0.0
IT,Italy,Hydro,2017,37556.721000000005,0.1308178986171623
IT,Italy,Pumped hydro power,2017,1825.96,0.006360199820399488
IT,Italy,Wind,2017,17565.332,0.06118371784248142
IT,Italy,Solar,2017,24016.821,0.08365560067622875
IT,Italy,Geothermal,2017,5821.46,0.02027736031811365
IT,Italy,Other,2017,582.871,0.0020302613581437
CY,Cyprus,Conventional thermal,2017,4394.819,0.9197491566002829
CY,Cyprus,Nuclear,2017,0.0,0.0
CY,Cyprus,Hydro,2017,0.0,0.0
CY,Cyprus,Pumped hydro power,2017,0.0,0.0
CY,Cyprus,Wind,2017,211.448,0.04425190654377725
CY,Cyprus,Solar,2017,172.013,0.035998936855939793
CY,Cyprus,Geothermal,2017,0.0,0.0
CY,Cyprus,Other,2017,0.0,0.0
LV,Latvia,Conventional thermal,2017,2520.3830000000003,0.3587805819305413
LV,Latvia,Nuclear,2017,0.0,0.0
LV,Latvia,Hydro,2017,4355.513,0.6200142949488382
LV,Latvia,Pumped hydro power,2017,0.0,0.0
LV,Latvia,Wind,2017,148.523,0.02114248841151118
LV,Latvia,Solar,2017,0.44,6.263470910946398e-05
LV,Latvia,Geothermal,2017,0.0,0.0
LV,Latvia,Other,2017,0.0,0.0
LT,Lithuania,Conventional thermal,2017,1165.3000000000002,0.2553466561486546
LT,Lithuania,Nuclear,2017,0.0,0.0
LT,Lithuania,Hydro,2017,1164.6,0.2551932684722587
LT,Lithuania,Pumped hydro power,2017,567.5,0.12435358050661757
LT,Lithuania,Wind,2017,1356.2,0.2971776667543167
LT,Lithuania,Solar,2017,67.0,0.014681391883600665
LT,Lithuania,Geothermal,2017,0.0,0.0
LT,Lithuania,Other,2017,243.0,0.053247436234551665
LU,Luxembourg,Conventional thermal,2017,450.167,0.12737681854914468
LU,Luxembourg,Nuclear,2017,0.0,0.0
LU,Luxembourg,Hydro,2017,1411.286,0.3993298503509769
LU,Luxembourg,Pumped hydro power,2017,1329.398,0.3761592649518864
LU,Luxembourg,Wind,2017,234.823,0.06644424549592885
LU,Luxembourg,Solar,2017,108.462,0.03068982065206319
LU,Luxembourg,Geothermal,2017,0.0,0.0
LU,Luxembourg,Other,2017,0.0,0.0
HU,Hungary,Conventional thermal,2017,14096.0,0.45951232233668016
HU,Hungary,Nuclear,2017,15206.0,0.49569696179423656
HU,Hungary,Hydro,2017,214.0,0.006976137697222585
HU,Hungary,Pumped hydro power,2017,0.0,0.0
HU,Hungary,Wind,2017,737.0,0.024025296648846003
HU,Hungary,Solar,2017,346.0,0.011279175902986048
HU,Hungary,Geothermal,2017,1.0,3.259877428608684e-05
HU,Hungary,Other,2017,76.0,0.0024775068457426
MT,Malta,Conventional thermal,2017,1439.156,0.9025983107750027
MT,Malta,Nuclear,2017,0.0,0.0
MT,Malta,Hydro,2017,0.0,0.0
MT,Malta,Pumped hydro power,2017,0.0,0.0
MT,Malta,Wind,2017,0.058,3.6375974546852576e-05
MT,Malta,Solar,2017,155.245,0.09736531325045047
MT,Malta,Geothermal,2017,0.0,0.0
MT,Malta,Other,2017,0.0,0.0
NL,Netherlands,Conventional thermal,2017,97231.607,0.8569301358513672
NL,Netherlands,Nuclear,2017,3277.664,0.028886996147200732
NL,Netherlands,Hydro,2017,60.757,0.0005354689269295068
NL,Netherlands,Pumped hydro power,2017,0.0,0.0
NL,Netherlands,Wind,2017,10568.797,0.09314584967206727
NL,Netherlands,Solar,2017,2204.344,0.019427518084558105
NL,Netherlands,Geothermal,2017,0.0,0.0
NL,Netherlands,Other,2017,121.865,0.0010740313178771884
AT,Austria,Conventional thermal,2017,20135.846,0.28211733029499125
AT,Austria,Nuclear,2017,0.0,0.0
AT,Austria,Hydro,2017,40098.554,0.5618088757318437
AT,Austria,Pumped hydro power,2017,3683.851,0.051613337195990365
AT,Austria,Wind,2017,6239.497,0.08741973076391263
AT,Austria,Solar,2017,1204.311,0.01687324208602366
