country,country_name,type,year,value,ratio,conventional_thermal,renewable_rate
EL,Greece,Solar,B,3991.477,0.078779451,0.730695233,0.269304767
EL,Greece,Geothermal,B,0,0,0.730695233,0.269304767
EL,Greece,Other,B,0,0,0.730695233,0.269304767
ES,Spain,Conventional thermal,B,126885,0.474927667,0.474927667,0.316895425
ES,Spain,Nuclear,B,55540,0.207884956,0.474927667,0.316895425
ES,Spain,Hydro,B,20708,0.077509573,0.474927667,0.316895425
ES,Spain,Pumped hydro power,B,2249,0.008417956,0.474927667,0.316895425
ES,Spain,Wind,B,47929,0.179397156,0.474927667,0.316895425
ES,Spain,Solar,B,13778,0.05157074,0.474927667,0.316895425
ES,Spain,Geothermal,B,0,0,0.474927667,0.316895425
ES,Spain,Other,B,78,0.000291952,0.474927667,0.316895425
FR,France,Conventional thermal,B,68922.949,0.127024012,0.127024012,0.1730696
FR,France,Nuclear,B,379093.955,0.69866475,0.127024012,0.1730696
FR,France,Hydro,B,54432.864,0.100318992,0.127024012,0.1730696
FR,France,Pumped hydro power,B,5070.791,0.009345395,0.127024012,0.1730696
FR,France,Wind,B,24710.749,0.045541558,0.127024012,0.1730696
FR,France,Solar,B,9572.843,0.017642613,0.127024012,0.1730696
FR,France,Geothermal,B,119.937,0.000221042,0.127024012,0.1730696
FR,France,Other,B,673.71,0.001241638,0.127024012,0.1730696
HR,Croatia,Conventional thermal,B,4808,0.410126928,0.410126928,0.589873072
HR,Croatia,Nuclear,B,0,0,0.410126928,0.589873072
HR,Croatia,Hydro,B,5437.8,0.463849461,0.410126928,0.589873072
HR,Croatia,Pumped hydro power,B,200.3,0.017085779,0.410126928,0.589873072
HR,Croatia,Wind,B,1198.4,0.102224649,0.410126928,0.589873072
HR,Croatia,Solar,B,78.7,0.006713184,0.410126928,0.589873072
HR,Croatia,Geothermal,B,0,0,0.410126928,0.589873072
HR,Croatia,Other,B,0,0,0.410126928,0.589873072
IT,Italy,Conventional thermal,B,199722.444,0.695674961,0.695674961,0.302294777
IT,Italy,Nuclear,B,0,0,0.695674961,0.302294777
IT,Italy,Hydro,B,37556.721,0.130817899,0.695674961,0.302294777
IT,Italy,Pumped hydro power,B,1825.96,0.0063602,0.695674961,0.302294777
IT,Italy,Wind,B,17565.332,0.061183718,0.695674961,0.302294777
IT,Italy,Solar,B,24016.821,0.083655601,0.695674961,0.302294777
IT,Italy,Geothermal,B,5821.46,0.02027736,0.695674961,0.302294777
IT,Italy,Other,B,582.871,0.002030261,0.695674961,0.302294777
CY,Cyprus,Conventional thermal,B,4394.819,0.919749157,0.919749157,0.080250843
CY,Cyprus,Nuclear,B,0,0,0.919749157,0.080250843
CY,Cyprus,Hydro,B,0,0,0.919749157,0.080250843
CY,Cyprus,Pumped hydro power,B,0,0,0.919749157,0.080250843
CY,Cyprus,Wind,B,211.448,0.044251907,0.919749157,0.080250843
CY,Cyprus,Solar,B,172.013,0.035998937,0.919749157,0.080250843
CY,Cyprus,Geothermal,B,0,0,0.919749157,0.080250843
CY,Cyprus,Other,B,0,0,0.919749157,0.080250843
